ModelInfoSimple;ModelInfoSimple.FilePath;ModelInfoSimple.DatabaseName;ModelInfoSimple.IsOld
ModelsMapper.ModelInfoSimple;AccountViewModels\AdminChangePassword.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\ExternalLoginViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\ForgotPasswordViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\InviteSupplier.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\LoginViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\LoginWith2faViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\LoginWithRecoveryCodeViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\RegisterViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\ResetPasswordViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\SaveUser.cs;"";False
ModelsMapper.ModelInfoSimple;AccountViewModels\SimpleRegisterViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;BomTemplates\NamedSectionTemplateHierarchyNode.cs;"";False
ModelsMapper.ModelInfoSimple;Brand\Brand.cs;"";False
ModelsMapper.ModelInfoSimple;Company.cs;"";False
ModelsMapper.ModelInfoSimple;CompanyGallery.cs;CompanyGallery;False
ModelsMapper.ModelInfoSimple;CompanyUser.cs;CompanyUser;False
ModelsMapper.ModelInfoSimple;Component\ComponentAttribute.cs;ComponentAttribute;False
ModelsMapper.ModelInfoSimple;Component\ComponentCategory.cs;"";False
ModelsMapper.ModelInfoSimple;Component\ComponentCertification.cs;ComponentCertification;False
ModelsMapper.ModelInfoSimple;Component\ComponentCompliance.cs;ComponentCompliance;False
ModelsMapper.ModelInfoSimple;Component\ComponentComponentTag.cs;ComponentComponentTag;False
ModelsMapper.ModelInfoSimple;Component\ComponentFile.cs;ComponentFile;False
ModelsMapper.ModelInfoSimple;Component\ComponentSeason.cs;"";False
ModelsMapper.ModelInfoSimple;Component\ComponentTariffCode.cs;ComponentTariffCode;False
ModelsMapper.ModelInfoSimple;ComponentCapabilities.cs;ComponentCapabilities;False
ModelsMapper.ModelInfoSimple;ComponentPrice.cs;"";False
ModelsMapper.ModelInfoSimple;CompositionMaterialDetail.cs;"";False
ModelsMapper.ModelInfoSimple;CompositionMaterialDetailType.cs;CompositionMaterialDetailType;False
ModelsMapper.ModelInfoSimple;Continent.cs;Continent;False
ModelsMapper.ModelInfoSimple;CountryLanguage.cs;CountryLanguage;False
ModelsMapper.ModelInfoSimple;CurrencyExchangeRate.cs;CurrencyExchangeRate;False
ModelsMapper.ModelInfoSimple;CustomField\CustomFieldEntityFamily.cs;"";False
ModelsMapper.ModelInfoSimple;Hierarchy\HierarchyLevelType.cs;"";False
ModelsMapper.ModelInfoSimple;Hierarchy\HierarchyNodeProductCategory.cs;"";False
ModelsMapper.ModelInfoSimple;Hierarchy\HierarchyNodeSizeSystem.cs;"";False
ModelsMapper.ModelInfoSimple;Hierarchy\HierarchyNodeTagCategory.cs;"";False
ModelsMapper.ModelInfoSimple;Language.cs;Language;False
ModelsMapper.ModelInfoSimple;LastingMethod.cs;LastingMethod;False
ModelsMapper.ModelInfoSimple;MainContext.cs;"";False
ModelsMapper.ModelInfoSimple;ManageViewModels\ChangePasswordViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;ManageViewModels\EnableAuthenticatorViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;ManageViewModels\ExternalLoginsViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;ManageViewModels\GenerateRecoveryCodesViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;ManageViewModels\IndexViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;ManageViewModels\RemoveLoginViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;ManageViewModels\SetPasswordViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;ManageViewModels\TwoFactorAuthenticationViewModel.cs;"";False
ModelsMapper.ModelInfoSimple;Niche.cs;Niche;False
ModelsMapper.ModelInfoSimple;OpeningHours.cs;OpeningHours;False
ModelsMapper.ModelInfoSimple;OpeningHoursTimeSpan.cs;OpeningHoursTimeSpan;False
ModelsMapper.ModelInfoSimple;Order\DatePair.cs;"";False
ModelsMapper.ModelInfoSimple;Order\OrderTag.cs;OrderTag;False
ModelsMapper.ModelInfoSimple;Order\OrderTagCategoryUniqueness.cs;"";False
ModelsMapper.ModelInfoSimple;OwnedDependentFix.cs;"";False
ModelsMapper.ModelInfoSimple;Page.cs;Page;False
